School ID,School Name
1164,Friendship PCS Technology Preparatory Academy High School
186,Friendship PCS Collegiate Academy
268,Friendship PCS Online
269,Friendship PCS Armstrong
361,Friendship PCS Blow Pierce Elementary School
362,Friendship PCS Blow Pierce Middle School
363,Friendship PCS Chamberlain Elementary School
364,Friendship PCS Chamberlain Middle School
365,Friendship PCS Woodridge Elementary School
366,Friendship PCS Woodridge Middle School
114,Hope Community PCS Tolson
131,Hope Community PCS Lamond
188,Cedar Tree Academy PCS
115,Howard University Middle School of Mathematics and Science PCS
161,Perry Street Preparatory PCS
163,IDEA PCS
134,Ideal Academy PCS
1121,KIPP DC PCS Promise Academy
1122,KIPP DC Discover Academy PCS
1123,KIPP DC College Preparatory Academy PCS
1129,KIPP DC Grow Academy PCS
116,KIPP DC AIM Academy PCS
121,KIPP DC WILL Academy PCS
132,KIPP DC LEAP Academy PCS
189,KIPP DC KEY Academy PCS
190,KIPP DC Lead Academy PCS
209,KIPP DC Connect Academy PCS
214,KIPP DC Spring Academy PCS
236,KIPP DC Arts and Technology Academy PCS
237,KIPP DC Quest Academy PCS
242,KIPP DC Northeast Academy PCS
243,KIPP DC Valor Academy PCS
3071,KIPP DC Heights Academy PCS
193,Latin American Montessori Bilingual PCS
128,Youthbuild PCS
135,Mary McLeod Bethune Day Academy PCS
101,Maya Angelou PCS - High School
137,Maya Angelou PCS Young Adult Learning Center
165,Meridian PCS
170,Paul PCS Middle School
222,Paul PCS International High School
173,Roots PCS
174,SEED PCS of Washington DC
1047,St. Coletta Special Education PCS
159,Elsie Whitlow Stokes Community Freedom PCS
168,The Next Step El Proximo Paso PCS
191,Thurgood Marshall Academy PCS
198,Two Rivers PCS 4th St
270,Two Rivers PCS Young
1118,Washington Latin PCS Upper School
125,Washington Latin PCS Middle School
178,Washington Mathematics Science Technology PCHS
210,City Arts & Prep PCS
1100,Achievement Preparatory Academy PCS Wahler Place Middle School
217,Achievement Preparatory Academy PCS Wahler Place Elementary School
1103,Center City PCS Brightwood
1104,Center City PCS Capitol Hill
1105,Center City PCS Congress Heights
1106,Center City PCS Petworth
1107,Center City PCS Shaw
1108,Center City PCS Trinidad
1113,Excel Academy PCS
1117,Washington Yu Ying PCS
1119,Carlos Rosario International PCS
1120,National Collegiate Preparatory PCHS
3064,Inspired Teaching Demonstration PCS
3066,Shining Stars Montessori Academy PCS
3067,Richard Wright PCS for Journalism and Media Arts
3068,BASIS DC PCS
3069,Creative Minds International PCS
3070,DC Scholars PCS
3065,Mundo Verde Bilingual PCS
104,LAYC Career Academy PCS
200,Ingenuity Prep PCS
197,Sela PCS
187,Somerset Preparatory Academy PCS
216,Community College Preparatory Academy PCS
228,Lee Montessori PCS
233,Academy of Hope Adult PCS
234,Democracy Prep Congress Heights PCS
245,Harmony DC PCS School of Excellence
248,District of Columbia International School
260,Monument Academy PCS
263,Washington Global PCS
267,Kingsman Academy PCS
255,The Children's Guild PCS
289,Breakthrough Montessori PCS
297,Goodwill Excel Center PCS
286,Rocketship DC PCS
283,Washington Leadership Academy PCS
