,org_type,org_code,year,subgroup,population,in_seat_attendance,state_in_seat_attendance,average_daily_attendance,state_average_daily_attendance,School Name
6,school,1207,2016,all,,0.89,0.832,,,Capital City PCS High School
7,school,1207,2016,sped,,0.878,0.767,,,Capital City PCS High School
8,school,1207,2016,male,,0.896,0.826,,,Capital City PCS High School
9,school,1207,2016,lep,,0.869,0.814,,,Capital City PCS High School
1,school,0182,2016,wh7,,0.946,0.96,,,Capital City PCS Middle School
2,school,0182,2016,sped,,0.907,0.915,,,Capital City PCS Middle School
3,school,0182,2016,male,,0.928,0.933,,,Capital City PCS Middle School
4,school,0182,2016,lep,,0.936,0.944,,,Capital City PCS Middle School
5,school,0182,2016,hi7,,0.931,0.947,,,Capital City PCS Middle School
6,school,0182,2016,female,,0.925,0.936,,,Capital City PCS Middle School
7,school,0182,2016,economy,,0.923,0.928,,,Capital City PCS Middle School
8,school,0182,2016,bl7,,0.916,0.928,,,Capital City PCS Middle School
9,school,0182,2016,all,,0.927,0.935,,,Capital City PCS Middle School
1,school,0184,2016,wh7,,0.949,0.961,,,Capital City PCS Lower School
2,school,0184,2016,sped,,0.925,0.925,,,Capital City PCS Lower School
3,school,0184,2016,mu7,,0.948,0.953,,,Capital City PCS Lower School
4,school,0184,2016,male,,0.925,0.933,,,Capital City PCS Lower School
5,school,0184,2016,lep,,0.926,0.948,,,Capital City PCS Lower School
6,school,0184,2016,hi7,,0.925,0.947,,,Capital City PCS Lower School
7,school,0184,2016,female,,0.933,0.935,,,Capital City PCS Lower School
8,school,0184,2016,economy,,0.92,0.927,,,Capital City PCS Lower School
9,school,0184,2016,bl7,,0.922,0.924,,,Capital City PCS Lower School
10,school,0184,2016,all,,0.929,0.934,,,Capital City PCS Lower School
1,school,0102,2016,sped,,0.872,0.908,,,Cesar Chavez PCS for Public Policy Parkside Middle School
2,school,0102,2016,male,,0.913,0.928,,,Cesar Chavez PCS for Public Policy Parkside Middle School
3,school,0102,2016,hi7,,0.896,0.942,,,Cesar Chavez PCS for Public Policy Parkside Middle School
4,school,0102,2016,female,,0.927,0.931,,,Cesar Chavez PCS for Public Policy Parkside Middle School
5,school,0102,2016,economy,,0.921,0.923,,,Cesar Chavez PCS for Public Policy Parkside Middle School
6,school,0102,2016,bl7,,0.921,0.922,,,Cesar Chavez PCS for Public Policy Parkside Middle School
7,school,0102,2016,all,,0.92,0.929,,,Cesar Chavez PCS for Public Policy Parkside Middle School
1,school,0109,2016,sped,,0.868,0.767,,,Cesar Chavez PCS for Public Policy Parkside High School
2,school,0109,2016,male,,0.905,0.826,,,Cesar Chavez PCS for Public Policy Parkside High School
3,school,0109,2016,hi7,,0.89,0.831,,,Cesar Chavez PCS for Public Policy Parkside High School
4,school,0109,2016,female,,0.899,0.837,,,Cesar Chavez PCS for Public Policy Parkside High School
5,school,0109,2016,economy,,0.903,0.819,,,Cesar Chavez PCS for Public Policy Parkside High School
6,school,0109,2016,bl7,,0.903,0.823,,,Cesar Chavez PCS for Public Policy Parkside High School
7,school,0109,2016,all,,0.902,0.832,,,Cesar Chavez PCS for Public Policy Parkside High School
1,school,0127,2016,sped,,0.917,0.858,,,Cesar Chavez PCS for Public Policy Chavez Prep
2,school,0127,2016,male,,0.924,0.893,,,Cesar Chavez PCS for Public Policy Chavez Prep
3,school,0127,2016,lep,,0.933,0.889,,,Cesar Chavez PCS for Public Policy Chavez Prep
4,school,0127,2016,hi7,,0.933,0.906,,,Cesar Chavez PCS for Public Policy Chavez Prep
5,school,0127,2016,female,,0.927,0.904,,,Cesar Chavez PCS for Public Policy Chavez Prep
6,school,0127,2016,economy,,0.925,0.887,,,Cesar Chavez PCS for Public Policy Chavez Prep
7,school,0127,2016,bl7,,0.913,0.889,,,Cesar Chavez PCS for Public Policy Chavez Prep
8,school,0127,2016,all,,0.925,0.898,,,Cesar Chavez PCS for Public Policy Chavez Prep
1,school,0153,2016,sped,,0.897,0.767,,,Cesar Chavez PCS for Public Policy Capitol Hill
2,school,0153,2016,male,,0.901,0.826,,,Cesar Chavez PCS for Public Policy Capitol Hill
3,school,0153,2016,lep,,0.897,0.814,,,Cesar Chavez PCS for Public Policy Capitol Hill
4,school,0153,2016,hi7,,0.903,0.831,,,Cesar Chavez PCS for Public Policy Capitol Hill
5,school,0153,2016,female,,0.904,0.837,,,Cesar Chavez PCS for Public Policy Capitol Hill
6,school,0153,2016,economy,,0.903,0.819,,,Cesar Chavez PCS for Public Policy Capitol Hill
7,school,0153,2016,bl7,,0.903,0.823,,,Cesar Chavez PCS for Public Policy Capitol Hill
8,school,0153,2016,all,,0.903,0.832,,,Cesar Chavez PCS for Public Policy Capitol Hill
1,school,0199,2016,wh7,,0.953,0.961,,,DC Bilingual PCS
2,school,0199,2016,sped,,0.949,0.926,,,DC Bilingual PCS
3,school,0199,2016,male,,0.942,0.934,,,DC Bilingual PCS
4,school,0199,2016,lep,,0.945,0.949,,,DC Bilingual PCS
5,school,0199,2016,hi7,,0.945,0.948,,,DC Bilingual PCS
6,school,0199,2016,female,,0.949,0.936,,,DC Bilingual PCS
7,school,0199,2016,economy,,0.944,0.929,,,DC Bilingual PCS
8,school,0199,2016,bl7,,0.941,0.926,,,DC Bilingual PCS
9,school,0199,2016,am7,,0.943,0.936,,,DC Bilingual PCS
10,school,0199,2016,all,,0.945,0.935,,,DC Bilingual PCS
1,school,1110,2016,sped,,0.904,0.923,,,DC Preparatory Academy PCS Benning Elementary School
2,school,1110,2016,mu7,,0.929,0.952,,,DC Preparatory Academy PCS Benning Elementary School
3,school,1110,2016,male,,0.929,0.931,,,DC Preparatory Academy PCS Benning Elementary School
4,school,1110,2016,lep,,0.965,0.947,,,DC Preparatory Academy PCS Benning Elementary School
5,school,1110,2016,hi7,,0.968,0.945,,,DC Preparatory Academy PCS Benning Elementary School
6,school,1110,2016,female,,0.932,0.933,,,DC Preparatory Academy PCS Benning Elementary School
7,school,1110,2016,economy,,0.931,0.926,,,DC Preparatory Academy PCS Benning Elementary School
8,school,1110,2016,bl7,,0.929,0.923,,,DC Preparatory Academy PCS Benning Elementary School
9,school,1110,2016,all,,0.931,0.932,,,DC Preparatory Academy PCS Benning Elementary School
1,school,0130,2016,sped,,0.949,0.923,,,DC Preparatory Academy PCS Edgewood Elementary School
2,school,0130,2016,mu7,,0.95,0.952,,,DC Preparatory Academy PCS Edgewood Elementary School
3,school,0130,2016,male,,0.946,0.931,,,DC Preparatory Academy PCS Edgewood Elementary School
4,school,0130,2016,lep,,0.958,0.947,,,DC Preparatory Academy PCS Edgewood Elementary School
5,school,0130,2016,hi7,,0.962,0.945,,,DC Preparatory Academy PCS Edgewood Elementary School
6,school,0130,2016,female,,0.95,0.933,,,DC Preparatory Academy PCS Edgewood Elementary School
7,school,0130,2016,economy,,0.943,0.926,,,DC Preparatory Academy PCS Edgewood Elementary School
8,school,0130,2016,bl7,,0.946,0.923,,,DC Preparatory Academy PCS Edgewood Elementary School
9,school,0130,2016,all,,0.948,0.932,,,DC Preparatory Academy PCS Edgewood Elementary School
1,school,0196,2016,sped,,0.954,0.919,,,DC Preparatory Academy PCS Edgewood Middle School
2,school,0196,2016,mu7,,0.934,0.952,,,DC Preparatory Academy PCS Edgewood Middle School
3,school,0196,2016,male,,0.953,0.936,,,DC Preparatory Academy PCS Edgewood Middle School
4,school,0196,2016,hi7,,0.953,0.951,,,DC Preparatory Academy PCS Edgewood Middle School
5,school,0196,2016,female,,0.951,0.938,,,DC Preparatory Academy PCS Edgewood Middle School
6,school,0196,2016,economy,,0.951,0.931,,,DC Preparatory Academy PCS Edgewood Middle School
7,school,0196,2016,bl7,,0.953,0.93,,,DC Preparatory Academy PCS Edgewood Middle School
8,school,0196,2016,all,,0.952,0.937,,,DC Preparatory Academy PCS Edgewood Middle School
1,school,0218,2016,sped,,0.908,0.928,,,DC Preparatory Academy PCS Benning Middle School
2,school,0218,2016,male,,0.919,0.941,,,DC Preparatory Academy PCS Benning Middle School
3,school,0218,2016,female,,0.929,0.945,,,DC Preparatory Academy PCS Benning Middle School
4,school,0218,2016,economy,,0.923,0.938,,,DC Preparatory Academy PCS Benning Middle School
5,school,0218,2016,bl7,,0.924,0.936,,,DC Preparatory Academy PCS Benning Middle School
6,school,0218,2016,all,,0.925,0.943,,,DC Preparatory Academy PCS Benning Middle School
1,school,0276,2016,mu7,,0.85,0.943,,,DC Preparatory Academy PCS Anacostia Elementary School
2,school,0276,2016,male,,0.91,0.914,,,DC Preparatory Academy PCS Anacostia Elementary School
3,school,0276,2016,female,,0.869,0.916,,,DC Preparatory Academy PCS Anacostia Elementary School
4,school,0276,2016,economy,,0.88,0.908,,,DC Preparatory Academy PCS Anacostia Elementary School
5,school,0276,2016,bl7,,0.895,0.905,,,DC Preparatory Academy PCS Anacostia Elementary School
6,school,0276,2016,all,,0.893,0.915,,,DC Preparatory Academy PCS Anacostia Elementary School
1,school,1138,2016,sped,,0.889,0.767,,,EL Haynes PCS High School
2,school,1138,2016,mu7,,0.91,0.892,,,EL Haynes PCS High School
3,school,1138,2016,male,,0.912,0.826,,,EL Haynes PCS High School
4,school,1138,2016,lep,,0.91,0.814,,,EL Haynes PCS High School
5,school,1138,2016,hi7,,0.911,0.831,,,EL Haynes PCS High School
6,school,1138,2016,female,,0.908,0.837,,,EL Haynes PCS High School
7,school,1138,2016,economy,,0.909,0.819,,,EL Haynes PCS High School
8,school,1138,2016,bl7,,0.909,0.823,,,EL Haynes PCS High School
9,school,1138,2016,all,,0.908,0.832,,,EL Haynes PCS High School
1,school,1206,2016,wh7,,0.965,0.961,,,EL Haynes PCS Elementary School
2,school,1206,2016,sped,,0.943,0.925,,,EL Haynes PCS Elementary School
3,school,1206,2016,mu7,,0.976,0.953,,,EL Haynes PCS Elementary School
4,school,1206,2016,male,,0.944,0.933,,,EL Haynes PCS Elementary School
5,school,1206,2016,lep,,0.945,0.948,,,EL Haynes PCS Elementary School
6,school,1206,2016,hi7,,0.945,0.947,,,EL Haynes PCS Elementary School
7,school,1206,2016,female,,0.952,0.935,,,EL Haynes PCS Elementary School
8,school,1206,2016,economy,,0.939,0.927,,,EL Haynes PCS Elementary School
9,school,1206,2016,bl7,,0.942,0.924,,,EL Haynes PCS Elementary School
10,school,1206,2016,all,,0.948,0.934,,,EL Haynes PCS Elementary School
1,school,0146,2016,wh7,,0.967,0.96,,,EL Haynes PCS Middle School
2,school,0146,2016,sped,,0.916,0.915,,,EL Haynes PCS Middle School
3,school,0146,2016,male,,0.936,0.933,,,EL Haynes PCS Middle School
4,school,0146,2016,lep,,0.929,0.944,,,EL Haynes PCS Middle School
5,school,0146,2016,hi7,,0.939,0.947,,,EL Haynes PCS Middle School
6,school,0146,2016,female,,0.932,0.936,,,EL Haynes PCS Middle School
7,school,0146,2016,economy,,0.931,0.928,,,EL Haynes PCS Middle School
8,school,0146,2016,bl7,,0.928,0.928,,,EL Haynes PCS Middle School
9,school,0146,2016,all,,0.934,0.935,,,EL Haynes PCS Middle School
1,school,1125,2016,sped,,0.906,0.923,,,Eagle Academy PCS Capitol Riverfront
2,school,1125,2016,male,,0.905,0.931,,,Eagle Academy PCS Capitol Riverfront
3,school,1125,2016,female,,0.928,0.933,,,Eagle Academy PCS Capitol Riverfront
4,school,1125,2016,economy,,0.917,0.926,,,Eagle Academy PCS Capitol Riverfront
5,school,1125,2016,bl7,,0.916,0.923,,,Eagle Academy PCS Capitol Riverfront
6,school,1125,2016,all,,0.917,0.932,,,Eagle Academy PCS Capitol Riverfront
1,school,0195,2016,sped,,0.903,0.923,,,Eagle Academy PCS Congress Heights
2,school,0195,2016,male,,0.889,0.931,,,Eagle Academy PCS Congress Heights
3,school,0195,2016,female,,0.892,0.933,,,Eagle Academy PCS Congress Heights
4,school,0195,2016,economy,,0.89,0.926,,,Eagle Academy PCS Congress Heights
5,school,0195,2016,bl7,,0.89,0.923,,,Eagle Academy PCS Congress Heights
6,school,0195,2016,all,,0.89,0.932,,,Eagle Academy PCS Congress Heights
1,school,0138,2016,sped,,0.923,0.923,,,Early Childhood Academy PCS
2,school,0138,2016,male,,0.931,0.931,,,Early Childhood Academy PCS
3,school,0138,2016,female,,0.935,0.933,,,Early Childhood Academy PCS
4,school,0138,2016,economy,,0.933,0.926,,,Early Childhood Academy PCS
5,school,0138,2016,bl7,,0.933,0.923,,,Early Childhood Academy PCS
6,school,0138,2016,all,,0.933,0.932,,,Early Childhood Academy PCS
1,school,0126,2016,wh7,,0.731,0.944,,,Briya PCS
2,school,0126,2016,male,,0.78,0.879,,,Briya PCS
3,school,0126,2016,lep,,0.835,0.89,,,Briya PCS
4,school,0126,2016,hi7,,0.717,0.817,,,Briya PCS
5,school,0126,2016,female,,0.716,0.866,,,Briya PCS
6,school,0126,2016,bl7,,0.744,0.877,,,Briya PCS
7,school,0126,2016,as7,,0.768,0.879,,,Briya PCS
8,school,0126,2016,all,,0.724,0.872,,,Briya PCS
1,school,1124,2016,sped,,0.904,0.832,,,Friendship PCS Technology Preparatory Academy Middle
2,school,1124,2016,male,,0.918,0.872,,,Friendship PCS Technology Preparatory Academy Middle
3,school,1124,2016,female,,0.918,0.879,,,Friendship PCS Technology Preparatory Academy Middle
4,school,1124,2016,economy,,0.918,0.863,,,Friendship PCS Technology Preparatory Academy Middle
5,school,1124,2016,bl7,,0.918,0.867,,,Friendship PCS Technology Preparatory Academy Middle
6,school,1124,2016,all,,0.918,0.875,,,Friendship PCS Technology Preparatory Academy Middle
1,school,0113,2016,sped,,0.929,0.926,,,Friendship PCS Southeast Academy
2,school,0113,2016,male,,0.924,0.934,,,Friendship PCS Southeast Academy
3,school,0113,2016,female,,0.934,0.936,,,Friendship PCS Southeast Academy
4,school,0113,2016,economy,,0.929,0.929,,,Friendship PCS Southeast Academy
5,school,0113,2016,bl7,,0.929,0.926,,,Friendship PCS Southeast Academy
6,school,0113,2016,all,,0.929,0.935,,,Friendship PCS Southeast Academy
0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Friendship PCS Technology Preparatory Academy High School
1,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,Friendship PCS Technology Preparatory Academy High School
1,school,0186,2016,sped,,0.905,0.767,,,Friendship PCS Collegiate Academy
2,school,0186,2016,male,,0.922,0.826,,,Friendship PCS Collegiate Academy
3,school,0186,2016,female,,0.917,0.837,,,Friendship PCS Collegiate Academy
4,school,0186,2016,economy,,0.92,0.819,,,Friendship PCS Collegiate Academy
5,school,0186,2016,bl7,,0.919,0.823,,,Friendship PCS Collegiate Academy
6,school,0186,2016,all,,0.92,0.832,,,Friendship PCS Collegiate Academy
1,school,0268,2016,wh7,,1,0.963,,,Friendship PCS Online
2,school,0268,2016,sped,,0.999,0.924,,,Friendship PCS Online
3,school,0268,2016,male,,0.998,0.937,,,Friendship PCS Online
4,school,0268,2016,female,,0.999,0.94,,,Friendship PCS Online
5,school,0268,2016,economy,,0.999,0.933,,,Friendship PCS Online
6,school,0268,2016,bl7,,0.998,0.93,,,Friendship PCS Online
7,school,0268,2016,all,,0.999,0.938,,,Friendship PCS Online
1,school,0269,2016,sped,,0.91,0.926,,,Friendship PCS Armstrong
2,school,0269,2016,male,,0.919,0.934,,,Friendship PCS Armstrong
3,school,0269,2016,lep,,0.94,0.949,,,Friendship PCS Armstrong
4,school,0269,2016,hi7,,0.94,0.948,,,Friendship PCS Armstrong
5,school,0269,2016,female,,0.929,0.936,,,Friendship PCS Armstrong
6,school,0269,2016,economy,,0.924,0.929,,,Friendship PCS Armstrong
7,school,0269,2016,bl7,,0.923,0.926,,,Friendship PCS Armstrong
8,school,0269,2016,all,,0.924,0.935,,,Friendship PCS Armstrong
1,school,0361,2016,sped,,0.927,0.923,,,Friendship PCS Blow Pierce Elementary School
2,school,0361,2016,male,,0.914,0.931,,,Friendship PCS Blow Pierce Elementary School
3,school,0361,2016,lep,,0.953,0.947,,,Friendship PCS Blow Pierce Elementary School
4,school,0361,2016,female,,0.928,0.933,,,Friendship PCS Blow Pierce Elementary School
5,school,0361,2016,economy,,0.921,0.926,,,Friendship PCS Blow Pierce Elementary School
6,school,0361,2016,bl7,,0.921,0.923,,,Friendship PCS Blow Pierce Elementary School
7,school,0361,2016,all,,0.921,0.932,,,Friendship PCS Blow Pierce Elementary School
1,school,0362,2016,sped,,0.922,0.919,,,Friendship PCS Blow Pierce Middle School
2,school,0362,2016,male,,0.931,0.936,,,Friendship PCS Blow Pierce Middle School
3,school,0362,2016,female,,0.931,0.938,,,Friendship PCS Blow Pierce Middle School
4,school,0362,2016,economy,,0.931,0.931,,,Friendship PCS Blow Pierce Middle School
5,school,0362,2016,bl7,,0.931,0.93,,,Friendship PCS Blow Pierce Middle School
6,school,0362,2016,all,,0.931,0.937,,,Friendship PCS Blow Pierce Middle School
1,school,0363,2016,sped,,0.958,0.923,,,Friendship PCS Chamberlain Elementary School
2,school,0363,2016,male,,0.939,0.931,,,Friendship PCS Chamberlain Elementary School
3,school,0363,2016,female,,0.945,0.933,,,Friendship PCS Chamberlain Elementary School
4,school,0363,2016,economy,,0.942,0.926,,,Friendship PCS Chamberlain Elementary School
5,school,0363,2016,bl7,,0.942,0.923,,,Friendship PCS Chamberlain Elementary School
6,school,0363,2016,all,,0.942,0.932,,,Friendship PCS Chamberlain Elementary School
1,school,0364,2016,sped,,0.941,0.919,,,Friendship PCS Chamberlain Middle School
2,school,0364,2016,male,,0.945,0.936,,,Friendship PCS Chamberlain Middle School
3,school,0364,2016,female,,0.956,0.938,,,Friendship PCS Chamberlain Middle School
4,school,0364,2016,economy,,0.951,0.931,,,Friendship PCS Chamberlain Middle School
5,school,0364,2016,bl7,,0.951,0.93,,,Friendship PCS Chamberlain Middle School
6,school,0364,2016,all,,0.951,0.937,,,Friendship PCS Chamberlain Middle School
1,school,0365,2016,sped,,0.931,0.923,,,Friendship PCS Woodridge Elementary School
2,school,0365,2016,male,,0.93,0.931,,,Friendship PCS Woodridge Elementary School
3,school,0365,2016,lep,,0.927,0.947,,,Friendship PCS Woodridge Elementary School
4,school,0365,2016,hi7,,0.921,0.945,,,Friendship PCS Woodridge Elementary School
5,school,0365,2016,female,,0.944,0.933,,,Friendship PCS Woodridge Elementary School
6,school,0365,2016,economy,,0.936,0.926,,,Friendship PCS Woodridge Elementary School
7,school,0365,2016,bl7,,0.936,0.923,,,Friendship PCS Woodridge Elementary School
8,school,0365,2016,all,,0.936,0.932,,,Friendship PCS Woodridge Elementary School
1,school,0366,2016,sped,,0.926,0.919,,,Friendship PCS Woodridge Middle School
2,school,0366,2016,male,,0.939,0.936,,,Friendship PCS Woodridge Middle School
3,school,0366,2016,female,,0.952,0.938,,,Friendship PCS Woodridge Middle School
4,school,0366,2016,economy,,0.945,0.931,,,Friendship PCS Woodridge Middle School
5,school,0366,2016,bl7,,0.944,0.93,,,Friendship PCS Woodridge Middle School
6,school,0366,2016,all,,0.945,0.937,,,Friendship PCS Woodridge Middle School
1,school,0114,2016,sped,,0.943,0.921,,,Hope Community PCS Tolson
2,school,0114,2016,male,,0.954,0.933,,,Hope Community PCS Tolson
3,school,0114,2016,lep,,0.972,0.948,,,Hope Community PCS Tolson
4,school,0114,2016,hi7,,0.966,0.947,,,Hope Community PCS Tolson
5,school,0114,2016,female,,0.957,0.935,,,Hope Community PCS Tolson
6,school,0114,2016,economy,,0.955,0.928,,,Hope Community PCS Tolson
7,school,0114,2016,bl7,,0.955,0.925,,,Hope Community PCS Tolson
8,school,0114,2016,all,,0.956,0.934,,,Hope Community PCS Tolson
1,school,0131,2016,sped,,0.951,0.926,,,Hope Community PCS Lamond
2,school,0131,2016,male,,0.947,0.934,,,Hope Community PCS Lamond
3,school,0131,2016,lep,,0.961,0.949,,,Hope Community PCS Lamond
4,school,0131,2016,hi7,,0.962,0.948,,,Hope Community PCS Lamond
5,school,0131,2016,female,,0.942,0.936,,,Hope Community PCS Lamond
6,school,0131,2016,economy,,0.943,0.929,,,Hope Community PCS Lamond
7,school,0131,2016,bl7,,0.942,0.926,,,Hope Community PCS Lamond
8,school,0131,2016,all,,0.945,0.935,,,Hope Community PCS Lamond
1,school,0188,2016,sped,,0.943,0.914,,,Cedar Tree Academy PCS
2,school,0188,2016,male,,0.924,0.921,,,Cedar Tree Academy PCS
3,school,0188,2016,female,,0.915,0.923,,,Cedar Tree Academy PCS
4,school,0188,2016,economy,,0.921,0.915,,,Cedar Tree Academy PCS
5,school,0188,2016,bl7,,0.92,0.911,,,Cedar Tree Academy PCS
6,school,0188,2016,all,,0.921,0.922,,,Cedar Tree Academy PCS
1,school,0115,2016,sped,,0.88,0.908,,,Howard University Middle School of Mathematics and Science PCS
2,school,0115,2016,male,,0.909,0.928,,,Howard University Middle School of Mathematics and Science PCS
3,school,0115,2016,hi7,,0.934,0.942,,,Howard University Middle School of Mathematics and Science PCS
4,school,0115,2016,female,,0.914,0.931,,,Howard University Middle School of Mathematics and Science PCS
5,school,0115,2016,economy,,0.902,0.923,,,Howard University Middle School of Mathematics and Science PCS
6,school,0115,2016,bl7,,0.91,0.922,,,Howard University Middle School of Mathematics and Science PCS
7,school,0115,2016,all,,0.912,0.929,,,Howard University Middle School of Mathematics and Science PCS
1,school,0161,2016,sped,,0.896,0.921,,,Perry Street Preparatory PCS
2,school,0161,2016,male,,0.909,0.933,,,Perry Street Preparatory PCS
3,school,0161,2016,lep,,0.929,0.948,,,Perry Street Preparatory PCS
4,school,0161,2016,female,,0.911,0.935,,,Perry Street Preparatory PCS
5,school,0161,2016,economy,,0.906,0.928,,,Perry Street Preparatory PCS
6,school,0161,2016,bl7,,0.909,0.925,,,Perry Street Preparatory PCS
7,school,0161,2016,all,,0.91,0.934,,,Perry Street Preparatory PCS
1,school,0163,2016,sped,,0.874,0.767,,,IDEA PCS
2,school,0163,2016,male,,0.898,0.826,,,IDEA PCS
3,school,0163,2016,female,,0.905,0.837,,,IDEA PCS
4,school,0163,2016,economy,,0.901,0.819,,,IDEA PCS
5,school,0163,2016,bl7,,0.902,0.823,,,IDEA PCS
6,school,0163,2016,all,,0.901,0.832,,,IDEA PCS
1,school,0134,2016,sped,,0.919,0.921,,,Ideal Academy PCS
2,school,0134,2016,male,,0.917,0.933,,,Ideal Academy PCS
3,school,0134,2016,hi7,,0.935,0.947,,,Ideal Academy PCS
4,school,0134,2016,female,,0.935,0.935,,,Ideal Academy PCS
5,school,0134,2016,economy,,0.926,0.928,,,Ideal Academy PCS
6,school,0134,2016,bl7,,0.925,0.925,,,Ideal Academy PCS
7,school,0134,2016,all,,0.926,0.934,,,Ideal Academy PCS
1,school,1121,2016,sped,,0.926,0.93,,,KIPP DC PCS Promise Academy
2,school,1121,2016,male,,0.933,0.94,,,KIPP DC PCS Promise Academy
3,school,1121,2016,female,,0.934,0.942,,,KIPP DC PCS Promise Academy
4,school,1121,2016,economy,,0.933,0.935,,,KIPP DC PCS Promise Academy
5,school,1121,2016,bl7,,0.933,0.932,,,KIPP DC PCS Promise Academy
6,school,1121,2016,all,,0.933,0.941,,,KIPP DC PCS Promise Academy
1,school,1122,2016,sped,,0.924,0.914,,,KIPP DC Discover Academy PCS
2,school,1122,2016,male,,0.924,0.921,,,KIPP DC Discover Academy PCS
3,school,1122,2016,female,,0.918,0.923,,,KIPP DC Discover Academy PCS
4,school,1122,2016,economy,,0.921,0.915,,,KIPP DC Discover Academy PCS
5,school,1122,2016,bl7,,0.922,0.911,,,KIPP DC Discover Academy PCS
6,school,1122,2016,all,,0.921,0.922,,,KIPP DC Discover Academy PCS
1,school,1123,2016,sped,,0.911,0.767,,,KIPP DC College Preparatory Academy PCS
2,school,1123,2016,male,,0.926,0.826,,,KIPP DC College Preparatory Academy PCS
3,school,1123,2016,female,,0.914,0.837,,,KIPP DC College Preparatory Academy PCS
4,school,1123,2016,economy,,0.919,0.819,,,KIPP DC College Preparatory Academy PCS
5,school,1123,2016,bl7,,0.919,0.823,,,KIPP DC College Preparatory Academy PCS
6,school,1123,2016,all,,0.919,0.832,,,KIPP DC College Preparatory Academy PCS
1,school,1129,2016,sped,,0.891,0.914,,,KIPP DC Grow Academy PCS
2,school,1129,2016,male,,0.911,0.921,,,KIPP DC Grow Academy PCS
3,school,1129,2016,female,,0.928,0.923,,,KIPP DC Grow Academy PCS
4,school,1129,2016,economy,,0.919,0.915,,,KIPP DC Grow Academy PCS
5,school,1129,2016,bl7,,0.918,0.911,,,KIPP DC Grow Academy PCS
6,school,1129,2016,all,,0.919,0.922,,,KIPP DC Grow Academy PCS
1,school,0116,2016,sped,,0.911,0.915,,,KIPP DC AIM Academy PCS
2,school,0116,2016,male,,0.919,0.933,,,KIPP DC AIM Academy PCS
3,school,0116,2016,female,,0.922,0.936,,,KIPP DC AIM Academy PCS
4,school,0116,2016,economy,,0.921,0.928,,,KIPP DC AIM Academy PCS
5,school,0116,2016,bl7,,0.921,0.928,,,KIPP DC AIM Academy PCS
6,school,0116,2016,all,,0.921,0.935,,,KIPP DC AIM Academy PCS
1,school,0121,2016,sped,,0.923,0.915,,,KIPP DC WILL Academy PCS
2,school,0121,2016,male,,0.926,0.933,,,KIPP DC WILL Academy PCS
3,school,0121,2016,female,,0.927,0.936,,,KIPP DC WILL Academy PCS
4,school,0121,2016,economy,,0.927,0.928,,,KIPP DC WILL Academy PCS
5,school,0121,2016,bl7,,0.926,0.928,,,KIPP DC WILL Academy PCS
6,school,0121,2016,all,,0.926,0.935,,,KIPP DC WILL Academy PCS
1,school,0132,2016,sped,,0.915,0.905,,,KIPP DC LEAP Academy PCS
2,school,0132,2016,male,,0.916,0.914,,,KIPP DC LEAP Academy PCS
3,school,0132,2016,female,,0.913,0.916,,,KIPP DC LEAP Academy PCS
4,school,0132,2016,economy,,0.914,0.908,,,KIPP DC LEAP Academy PCS
5,school,0132,2016,bl7,,0.914,0.905,,,KIPP DC LEAP Academy PCS
6,school,0132,2016,all,,0.914,0.915,,,KIPP DC LEAP Academy PCS
1,school,0189,2016,sped,,0.921,0.915,,,KIPP DC KEY Academy PCS
2,school,0189,2016,male,,0.942,0.933,,,KIPP DC KEY Academy PCS
3,school,0189,2016,female,,0.936,0.936,,,KIPP DC KEY Academy PCS
4,school,0189,2016,economy,,0.939,0.928,,,KIPP DC KEY Academy PCS
5,school,0189,2016,bl7,,0.938,0.928,,,KIPP DC KEY Academy PCS
6,school,0189,2016,all,,0.939,0.935,,,KIPP DC KEY Academy PCS
1,school,0190,2016,sped,,0.926,0.93,,,KIPP DC Lead Academy PCS
2,school,0190,2016,male,,0.938,0.942,,,KIPP DC Lead Academy PCS
3,school,0190,2016,hi7,,0.946,0.956,,,KIPP DC Lead Academy PCS
4,school,0190,2016,female,,0.944,0.944,,,KIPP DC Lead Academy PCS
5,school,0190,2016,economy,,0.941,0.937,,,KIPP DC Lead Academy PCS
6,school,0190,2016,bl7,,0.941,0.934,,,KIPP DC Lead Academy PCS
7,school,0190,2016,all,,0.941,0.943,,,KIPP DC Lead Academy PCS
1,school,0209,2016,sped,,0.91,0.914,,,KIPP DC Connect Academy PCS
2,school,0209,2016,male,,0.923,0.921,,,KIPP DC Connect Academy PCS
3,school,0209,2016,female,,0.926,0.923,,,KIPP DC Connect Academy PCS
4,school,0209,2016,economy,,0.924,0.915,,,KIPP DC Connect Academy PCS
5,school,0209,2016,bl7,,0.925,0.911,,,KIPP DC Connect Academy PCS
6,school,0209,2016,all,,0.924,0.922,,,KIPP DC Connect Academy PCS
1,school,0214,2016,sped,,0.925,0.928,,,KIPP DC Spring Academy PCS
2,school,0214,2016,male,,0.931,0.939,,,KIPP DC Spring Academy PCS
3,school,0214,2016,female,,0.925,0.941,,,KIPP DC Spring Academy PCS
4,school,0214,2016,economy,,0.928,0.934,,,KIPP DC Spring Academy PCS
